# samples=1024  bits=12
# current: min=0 max=4095 argmin(dip pos)=501
# dip_depth: max=4095 at index 501
# idx  current  ref  dip_depth
  655   4095   4095      0
  656   4095   4095      0
  657   4095   4095      0
  658   4095   4095      0
  659   4095   4095      0
  660   4095   4095      0
  661   4095   4095      0
  662   4095   4095      0
  663   4095   4095      0
  664   4095   4095      0
  665   4095   4095      0
  666   4095   4095      0
  667   4095   4095      0
  668   4095   4095      0
  669   4095   4095      0
  670   4095   4095      0
  671   4095   4095      0
  672   4095   4095      0
  673   4095   4095      0
  674   4095   4095      0
  675   4095   4095      0
  676   4095   4095      0
  677   4095   4095      0
  678   4095   4095      0
  679   4095   4095      0
  680   4095   4095      0
  681   4095   4095      0
  682   4095   4095      0
  683   4095   4095      0
  684   4095   4095      0
  685   4095   4095      0
  686   4095   4095      0
  687   4095   4095      0
  688   4095   4095      0
  689   4095   4095      0
  690   4095   4095      0
  691   4095   4095      0
  692   4095   4095      0
  693   4095   4095      0
  694   4095   4095      0
  695   4095   4095      0
  696   4095   4095      0
  697   4095   4095      0
  698   4095   4095      0
  699   4095   4095      0
  700   4095   4095      0
  701   4095   4095      0
  702   4095   4095      0
  703   4095   4095      0
  704   4095   4095      0
  705   4095   4095      0
  706   4095   4095      0
  707   4095   4095      0
  708   4095   4095      0
  709   4095   4095      0
  710   4095   4095      0
  711   4095   4095      0
  712   4095   4095      0
  713   4095   4095      0
  714   4095   4095      0
  715   4095   4095      0
  716   4095   4095      0
  717   4095   4095      0
  718   4095   4095      0
  719   4095   4095      0
  720   4095   4095      0
  721   4095   4095      0
  722   4095   4095      0
  723   4095   4095      0
  724   4095   4095      0
  725   4095   4095      0
  726   4095   4095      0
  727   4095   4095      0
  728   4095   4095      0
  729   4095   4095      0
  730   4095   4095      0
  731   4095   4095      0
  732   4095   4095      0
  733   4095   4095      0
  734   4095   4095      0
  735   4095   4095      0
  736   4095   4095      0
  737   4095   4095      0
  738   4095   4095      0
  739   4095   4095      0
  740   4095   4095      0
  741   4095   4095      0
  742   4095   4095      0
  743   4095   4095      0
  744   4095   4095      0
  745   4095   4095      0
  746   4095   4095      0
  747   4095   4095      0
  748   4095   4095      0
  749   4095   4095      0
  750   4095   4095      0
  751   4095   4095      0
  752   4095   4095      0
  753   4095   4095      0
  754   4095   4095      0
  755   4095   4095      0
  756   4095   4095      0
  757   4095   4095      0
  758   4095   4095      0
  759   4095   4095      0
